"evento","asistencia","total","prop_asistencia"
"A propósito de leer y escribir en el aula hoy","152","329","0.4620"
"Ciencia y mundo contemporáneo: discusiones que ingresan a la escuela","31","91","0.3407"
"El arte en la trama de lo escolar: danza, teatro, música, artes visuales","25","122","0.2049"
"El conocimiento matemático, las tecnologías y la enseñanza","82","148","0.5541"
"Enseñanza y enseñanzas: desafíos del oficio hoy","111","286","0.3881"
"Enseñar Ciencias de la Computación en la escuela en el marco de la Cultura Digital","56","155","0.3613"
"Jornada mañana","391","687","0.5691"
"La democratización del conocimiento en la clase de Educación Física ","32","51","0.6275"
"Poner en valor el tiempo de la enseñanza de las Ciencias Sociales: caminos posibles","55","100","0.5500"
